Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Manuel BOMPARD,UG,26712,39.69,67.49,OUI
Mme Aurélie QUINQUIS,RN,5973,8.87,15.09,NON
Mme Malika TORCHI,ENS,4370,6.49,11.04,NON
M. Carime IGO,LR,830,1.23,2.10,NON
M. Anthony DEMONT,ECO,723,1.07,1.83,NON
M. Florian TREVISAN,REC,323,0.48,0.82,NON
Mme Isabelle BONNET,EXG,256,0.38,0.65,NON
Mme Leila BEHAIRI,ECO,204,0.30,0.52,NON
M. Stéphane PERNICE,EXG,178,0.26,0.45,NON
M. Kylian Jacky Jean-Luc VISAGE,DIV,11,0.02,0.03,NON
Mme Lea Felice FERRANDI,REG,1,0.00,0.00,NON
Mme Eva-Françoise FAYE,DVG,0,0.00,0.00,NON
