Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Aymeric CARON,UG,26299,37.40,50.38,OUI
M. Pierre-Yves BOURNAZEL,ENS,16902,24.04,32.38,NON
Mme Valérie TIREFORT,RN,3641,5.18,6.98,NON
M. Rudolph GRANIER,LR,2184,3.11,4.18,NON
Mme Catherine COUTARD,DVG,811,1.15,1.55,NON
Mme Philippine LONG,DVC,804,1.14,1.54,NON
M. Pierre BRAVOZ,DVG,742,1.06,1.42,NON
Mme Marguerite PIERRE,REC,527,0.75,1.01,NON
Mme Annie BOUBAULT,EXG,214,0.30,0.41,NON
Mme Audrey LE BOEUF,REG,68,0.10,0.13,NON
M. David THIELE,EXG,8,0.01,0.02,NON
Mme Béatrice FAILLÈS,DVC,0,0.00,0.00,NON
M. Stéphane MANIGOLD,DVC,0,0.00,0.00,NON
Mme Yasmin BERROUBA,DVC,0,0.00,0.00,NON
