Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Frédéric BOCCALETTI,RN,32748,31.56,48.30,QUALIF T2
Mme Cécile MUSCHOTTI,ENS,12567,12.11,18.53,QUALIF T2
Mme Claudie CARTEREAU,UG,12166,11.72,17.94,NON
Mme Sandra KUNTZ,LR,5129,4.94,7.56,NON
M. Sébastien GIOIA,DVC,1870,1.80,2.76,NON
Mme Laurile KOSCIELSKI,ECO,1169,1.13,1.72,NON
M. Mathieu REHO,REC,887,0.85,1.31,NON
Mme Marie-Eve PERRU,ECO,819,0.79,1.21,NON
M. Patrice CIUTI,EXG,381,0.37,0.56,NON
Mme Christèle GUENIOT-DESMAZURES,DSV,71,0.07,0.10,NON
