Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Marine ROSSET,UG,18845,25.27,33.40,QUALIF T2
M. Jean LAUSSUCQ,ENS,13325,17.87,23.62,QUALIF T2
M. Gilles LE GENDRE,DVC,11071,14.84,19.62,QUALIF T2
Mme Melody DE WITTE,RN,6206,8.32,11.00,NON
Mme Félicité HERZOG DE COSSÉ BRISSAC,DVD,3792,5.08,6.72,NON
M. Romain MARSILY,DVD,1229,1.65,2.18,NON
Mme Ornella EVANGELISTA,REC,778,1.04,1.38,NON
Mme Cécile Marie LORANS,ECO,512,0.69,0.91,NON
M. Frédéric MAURIANGE,DVC,430,0.58,0.76,NON
Mme Charline JOLIVEAU,EXG,168,0.23,0.30,NON
Mme Elise MAGNE,DVG,60,0.08,0.11,NON
Mme Clara SACASA,EXG,0,0.00,0.00,NON
