Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Olivia GREGOIRE,ENS,22145,29.33,39.36,QUALIF T2
Mme Celine MALAISÉ,UG,16294,21.58,28.96,QUALIF T2
M. David ATTIA,UXD,8111,10.74,14.41,NON
M. Jérôme LORIAU,LR,7297,9.66,12.97,NON
M. Philippe CUIGNACHE D'APREVAL,REC,947,1.25,1.68,NON
Mme Alienor BILLAULT HARLE,ECO,850,1.13,1.51,NON
M. Arnaud DE GONTAUT BIRON,DVC,449,0.59,0.80,NON
Mme Muriel MONCHAL,EXG,156,0.21,0.28,NON
M. Laszlo FERRÉOL,DVG,19,0.03,0.03,NON
M. Joachim MILESCHI,EXG,0,0.00,0.00,NON
