Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Meyer HABIB,LR,11557,7.76,35.58,QUALIF T2
Mme Caroline YADAN,ENS,7855,5.27,24.18,QUALIF T2
Mme Yaël LERER,UG,7516,5.05,23.14,NON
M. Guillaume BENSOUSSAN,REC,2044,1.37,6.29,NON
Mme Aurelie ASSOULINE,LR,1329,0.89,4.09,NON
M. Gilles NEFFATI,DVC,1025,0.69,3.16,NON
Mme Valérie CHARTRAIN,DVG,457,0.31,1.41,NON
M. Nicolas SPITALAS,DIV,299,0.20,0.92,NON
M. Philippe HABABOU SOLOMON,DVD,197,0.13,0.61,NON
M. David BIZET,DIV,188,0.13,0.58,NON
M. Benjamin SIGOURA,DIV,15,0.01,0.05,NON
