Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Sylvain MAILLARD,ENS,28048,33.27,44.70,QUALIF T2
M. Raphaël KEMPF,UG,20138,23.89,32.09,QUALIF T2
Mme Delphine VOIRIN,RN,6303,7.48,10.04,NON
Mme Laurence SAILLIET,LR,3469,4.11,5.53,NON
M. Pierre MAURIN,DVD,2883,3.42,4.59,NON
Mme Marine CHIABERTO,REC,991,1.18,1.58,NON
M. Alban Ludovic Bertrand PINEAU,DVC,598,0.71,0.95,NON
Mme Laurence BOULINIER,EXG,231,0.27,0.37,NON
Mme Mathilde CONTENSOU,REG,89,0.11,0.14,NON
M. Axel METZKER,DIV,3,0.00,0.00,NON
M. Aurélien GAUTREAU,EXG,0,0.00,0.00,NON
