Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Thierry SOTHER,UG,17355,24.46,37.94,QUALIF T2
M. Bruno STUDER,ENS,13260,18.69,28.99,QUALIF T2
Mme Stéphanie DÔ,RN,10567,14.89,23.10,QUALIF T2
M. Dera RATSIAJETSINIMARO,LR,1760,2.48,3.85,NON
M. Gautier PERRIN,REG,813,1.15,1.78,NON
M. Thierry PARAT,ECO,782,1.10,1.71,NON
M. Alexandre ZYZECK,REC,420,0.59,0.92,NON
M. Mohamed SYLLA,DVG,294,0.41,0.64,NON
Mme Denise GRANDMOUGIN,EXG,252,0.36,0.55,NON
M. Félix KLEIMANN,DVG,129,0.18,0.28,NON
M. Hicham HAMZA,DIV,112,0.16,0.24,NON
Mme Camille ROBERT,EXG,0,0.00,0.00,NON
