Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Pouria AMIRSHAHI,UG,32152,40.47,54.24,OUI
Mme Rachel-Flore PARDO,ENS,17879,22.50,30.16,NON
Mme Céline CHEN,RN,4186,5.27,7.06,NON
Mme Valentine SERINO,LR,2459,3.09,4.15,NON
Mme Thiaba BRUNI,ECO,674,0.85,1.14,NON
Mme Yoneko KIKUCHI,REC,534,0.67,0.90,NON
M. Théo FAUCON,DVC,511,0.64,0.86,NON
M. Arnaud BOROWSKI,ECO,367,0.46,0.62,NON
Mme Monique DABAT,EXG,271,0.34,0.46,NON
M. Raymond Victor BASSIL,DVC,133,0.17,0.22,NON
Mme Anne CHAMAYOU,DVG,114,0.14,0.19,NON
M. Léonard GUIOT,EXG,1,0.00,0.00,NON
