Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Sandra REGOL,UG,20631,32.99,47.60,QUALIF T2
M. Etienne LOOS,ENS,10513,16.81,24.26,QUALIF T2
Mme Hombeline DU PARC,RN,6081,9.72,14.03,NON
Mme Irène WEISS,LR,2787,4.46,6.43,NON
M. Serge OEHLER,DVG,835,1.34,1.93,NON
M. Jamal ROUCHDI,DIV,472,0.75,1.09,NON
M. Luc MENARD,REC,436,0.70,1.01,NON
M. Patrick ARBOGAST,ECO,424,0.68,0.98,NON
Mme Odette HOLTZER,REG,395,0.63,0.91,NON
M. Albéric BARRET,ECO,315,0.50,0.73,NON
Mme Louise FÈVE,EXG,146,0.23,0.34,NON
M. Frédéric SEIGLE-MURANDI,DVG,107,0.17,0.25,NON
M. Thomas BRANT,DIV,77,0.12,0.18,NON
M. Dan BENHAMOU,EXG,77,0.12,0.18,NON
M. Thomas SCHLUND,DIV,43,0.07,0.10,NON
M. Etienne GENIEUX,EXG,0,0.00,0.00,NON
