Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Boris TAVERNIER,UG,28567,38.30,49.65,QUALIF T2
M. Loïc TERRENES,ENS,14455,19.38,25.12,QUALIF T2
Mme Anaëlle BISLEAU,RN,8228,11.03,14.30,NON
Mme Maryll GUILLOTEAU,LR,4456,5.97,7.74,NON
M. Karim MAHMOUD-VINTAM,DIV,731,0.98,1.27,NON
Mme Vanessa ETENNE,REC,456,0.61,0.79,NON
Mme Delphine BRIDAY,EXG,297,0.40,0.52,NON
M. Pascal COULAN,DIV,148,0.20,0.26,NON
M. Michaël JOUTEUX,EXG,133,0.18,0.23,NON
M. Nizar TOUIHRI,DIV,63,0.08,0.11,NON
M. Anthony BRUNO,EXG,0,0.00,0.00,NON
