Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Florence HEROUIN-LÉAUTEY,UG,20040,30.09,44.44,QUALIF T2
M. Damien ADAM,ENS,12456,18.70,27.62,QUALIF T2
M. Grégoire HOUDAN,RN,8567,12.86,19.00,QUALIF T2
M. Patrick CHABERT,DVD,2606,3.91,5.78,NON
M. Christian SAVEY,REC,465,0.70,1.03,NON
Mme Valérie FOISSEY,EXG,454,0.68,1.01,NON
Mme Marie-Hélène DUVERGER,EXG,271,0.41,0.60,NON
M. Jody HORCHOLLE,DVC,122,0.18,0.27,NON
M. Richard VACQUER,DVG,111,0.17,0.25,NON
M. Mikhail STACHKOV,DIV,3,0.00,0.01,NON
