Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Perceval GAILLARD,UG,14851,12.26,29.55,QUALIF T2
M. Jean-Luc POUDROUX,RN,12853,10.61,25.57,QUALIF T2
M. Thierry ROBERT,DVC,11083,9.15,22.05,NON
M. Cyrille HAMILCARO,DVD,3754,3.10,7.47,NON
M. Karim JUHOOR,DVG,2854,2.36,5.68,NON
Mme Isaline TRONC,DVG,2651,2.19,5.27,NON
M. Jean-Luc PAYET,EXG,724,0.60,1.44,NON
Mme Nathalie DE BOISVILLIERS,REC,551,0.45,1.10,NON
M. Richelain CATHERINE,DIV,479,0.40,0.95,NON
Mme Sandrine MOUKINE,DSV,461,0.38,0.92,NON
