Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Emmanuel MAUREL,UG,22742,23.61,35.63,QUALIF T2
Mme Kimberley LELAIDIER,RN,17608,18.28,27.59,QUALIF T2
Mme Cécile RILHAC,ENS,15013,15.59,23.52,QUALIF T2
Mme Laetitia VINCENT,LR,4816,5.00,7.55,NON
Mme Samira HERBAL,ECO,1290,1.34,2.02,NON
Mme Laetitia GUÉBIN,DIV,1046,1.09,1.64,NON
M. Alexandre SIMONNOT,REC,837,0.87,1.31,NON
M. Juan MUNOZ,EXG,468,0.49,0.73,NON
M. Daniel BLASER,EXG,7,0.01,0.01,NON
Mme Samira BELMOKHTAR,DVG,0,0.00,0.00,NON
