Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Jacques OBERTI,UG,28631,27.23,36.24,QUALIF T2
Mme Caroline FALGAS-COLOMINA,RN,23993,22.82,30.37,QUALIF T2
Mme Dominique FAURE,ENS,22910,21.79,28.99,QUALIF T2
M. Romain GRESLE,REC,1123,1.07,1.42,NON
Mme Frédérique SOULIER,DVC,728,0.69,0.92,NON
M. Adrien BOURGEADE,ECO,558,0.53,0.71,NON
Mme Lucile SOUCHE,EXG,523,0.50,0.66,NON
M. Gilles CORSO,DIV,389,0.37,0.49,NON
Mme Arlette BOUZON,DIV,158,0.15,0.20,NON
M. François UBEDA,LR,1,0.00,0.00,NON
