Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Gabrielle CATHALA,UG,18603,24.56,37.63,QUALIF T2
Mme Estelle FOLEST,ENS,12745,16.82,25.78,QUALIF T2
Mme Annika BRUNA,RN,10911,14.40,22.07,QUALIF T2
Mme Audrey GUILBAUD,LR,3737,4.93,7.56,NON
M. Loïc ELÉLOUÉ-VALMAR,REG,1049,1.38,2.12,NON
M. Emmanuel MIKAEL,DVC,910,1.20,1.84,NON
M. Jean Bernard LASMARRIGUES,REC,683,0.90,1.38,NON
M. Christophe CELESTIN,DVC,427,0.56,0.86,NON
Mme Agnès REINMANN,EXG,370,0.49,0.75,NON
Mme Marine DAGEVILLE,EXG,0,0.00,0.00,NON
