Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Romain ESKENAZI,UG,16797,24.51,37.94,QUALIF T2
M. David QUENTIN,RN,12065,17.60,27.25,QUALIF T2
M. Dominique DA SILVA,ENS,10241,14.94,23.13,QUALIF T2
M. Jean-Pierre YALCIN,LR,3891,5.68,8.79,NON
Mme Virginie VIEVILLE,REC,696,1.02,1.57,NON
Mme Valérie SUAREZ,EXG,578,0.84,1.31,NON
Mme Marie-Christine CHASTAING,DSV,3,0.00,0.01,NON
M. Didier ARNAL,DIV,0,0.00,0.00,NON
M. Aurélien GAVOIS,EXG,0,0.00,0.00,NON
Mme Linda UZAN,DIV,0,0.00,0.00,NON
