Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Soumya BOUROUAHA,UG,15760,23.37,44.52,QUALIF T2
M. Mohamed AWAD,FI,8462,12.55,23.90,QUALIF T2
Mme Colette LÉVÊQUE,RN,5839,8.66,16.49,NON
M. Hamza RABEHI,ENS,2429,3.60,6.86,NON
M. Micaël VAZ,LR,1982,2.94,5.60,NON
Mme Marlène LEY,EXG,344,0.51,0.97,NON
M. Amirdine FAROUK,DIV,335,0.50,0.95,NON
Mme Sonia ATTIG,DVG,105,0.16,0.30,NON
M. Omar MIRALI,DIV,102,0.15,0.29,NON
M. Matthieu BELIN,EXG,25,0.04,0.07,NON
Mme Virginie POTTIER,DVD,16,0.02,0.05,NON
