Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Agathe ROBY,UG,21064,25.71,34.58,QUALIF T2
Mme Corinne VIGNON,ENS,20227,24.69,33.20,QUALIF T2
Mme Stéphanie ALARCON,RN,13022,15.90,21.38,QUALIF T2
M. Clément DELMAS,LR,3307,4.04,5.43,NON
M. Baptiste ROBERT,DVG,828,1.01,1.36,NON
Mme Marie-Pierre BOUCHET,DVC,731,0.89,1.20,NON
M. Philippe SOLERI,REC,683,0.83,1.12,NON
Mme Domitille ALLORANT,ECO,613,0.75,1.01,NON
Mme Malena ADRADA,EXG,254,0.31,0.42,NON
M. Philippe MAURY,DVD,162,0.20,0.27,NON
M. Noël NÉMOUTHÉ,REG,29,0.04,0.05,NON
