Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Sarah LEGRAIN,UG,32422,42.43,62.47,OUI
Mme Elsa PARIENTE,ENS,10154,13.29,19.56,NON
Mme Christèle DE FROMONT DE BOUAILLE,RN,4829,6.32,9.30,NON
Mme Marie TOUBIANA,LR,2291,3.00,4.41,NON
M. Victor HUGUET,ECO,1003,1.31,1.93,NON
Mme Cecile FISCHER,REC,506,0.66,0.97,NON
M. Nordine EL-MARBATI,EXG,409,0.54,0.79,NON
Mme Marie-Noëlle BLONDEL,DVC,287,0.38,0.55,NON
Mme Hakima KHELFA,DIV,1,0.00,0.00,NON
Mme Hortense VILLENAVE,EXG,0,0.00,0.00,NON
