Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Danièle OBONO,UG,26238,41.56,64.23,OUI
Mme Kolia BÉNIÉ,ENS,7012,11.11,17.16,NON
Mme Anne DE LA BRÉLIE,RN,3666,5.81,8.97,NON
Mme Angélique MICHEL,LR,1619,2.56,3.96,NON
M. Mathias SAINT-ELLIER,DVC,744,1.18,1.82,NON
M. Michel BOUCHOU,ECO,578,0.92,1.41,NON
Mme Brigitte RUMEAU,REC,414,0.66,1.01,NON
M. Abdellah AKSAS,EXG,399,0.63,0.98,NON
M. Victor FOURNIER,DVC,181,0.29,0.44,NON
M. Clément ROUSSEAU,EXG,0,0.00,0.00,NON
Mme Marie-Agnès VALLEE,DSV,0,0.00,0.00,NON
