Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Colette CAPDEVIELLE,UG,22643,22.39,32.30,QUALIF T2
M. Serge ROSSO,RN,19307,19.09,27.54,QUALIF T2
Mme Florence LASSERRE,ENS,18667,18.46,26.63,QUALIF T2
Mme Valérie CASTREC,LR,4198,4.15,5.99,NON
Mme Johanna GRATELOUP,ECO,1567,1.55,2.24,NON
M. Jean-Marie ERRAMUZPE,REG,1414,1.40,2.02,NON
M. Jean Claude LABADIE,DIV,1010,1.00,1.44,NON
M. Alain CAYUELA,REC,671,0.66,0.96,NON
M. Philippe BARDANOUVE,EXG,477,0.47,0.68,NON
Mme Hélène SUSBIELLE,REG,154,0.15,0.22,NON
