Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Pierre-Yves CADALEN,UG,18850,24.12,35.28,QUALIF T2
M. Denis KERVELLA,RN,12065,15.44,22.58,QUALIF T2
M. Jean-Charles LARSONNEUR,DVC,9874,12.63,18.48,QUALIF T2
M. Tristan BRÉHIER,ENS,9105,11.65,17.04,NON
Mme Françoise HOUARD,LR,1444,1.85,2.70,NON
Mme Geneviève HENRY,ECO,1131,1.45,2.12,NON
M. Alain ROUSSEAU,REC,373,0.48,0.70,NON
M. Rémy COLLARD,EXG,357,0.46,0.67,NON
M. Melvyn HITA,EXG,172,0.22,0.32,NON
M. Martial KOFFI,EXD,55,0.07,0.10,NON
