Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Karim BEN CHEÏKH,UG,18505,14.19,51.57,QUALIF T2
Mme Samira DJOUADI,ENS,5634,4.32,15.70,QUALIF T2
Mme Elodie CHARRON,RN,3817,2.93,10.64,NON
M. Ismaël BOUDJEKADA,DVG,1421,1.09,3.96,NON
M. Jihad BADREDDINE,LR,1242,0.95,3.46,NON
M. Erwan Borhan DAVOUX,DVD,1222,0.94,3.41,NON
M. Seddik KHALFI,DVG,1171,0.90,3.26,NON
M. Rachid TAHIRI,DVC,1102,0.85,3.07,NON
Mme Régina DUCELLIER,DVC,693,0.53,1.93,NON
M. Pierre DREVON,REC,311,0.24,0.87,NON
M. Hassan OUDRHIRI,DIV,236,0.18,0.66,NON
M. Sébastien PERIMONY,DIV,172,0.13,0.48,NON
Mme Kourtoum SACKHO,DVD,117,0.09,0.33,NON
M. Gabriel Marie SIDIBÉ,DIV,84,0.06,0.23,NON
Mme Rania Tessa MAACHOU,DIV,61,0.05,0.17,NON
M. Hachim FADILI,DSV,53,0.04,0.15,NON
M. Edouard TINAUGUS,DVG,20,0.02,0.06,NON
Mme Khadija DAVID,DVG,11,0.01,0.03,NON
M. Abdoulai DIANIFABA,DIV,8,0.01,0.02,NON
