Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Christian BAPTISTE,DVG,10903,12.29,41.33,QUALIF T2
M. Laurent PETIT,RN,4563,5.14,17.30,QUALIF T2
M. Blaise ALDO,DVD,2291,2.58,8.68,NON
Mme Priscilla SYLVESTRE,DIV,1895,2.14,7.18,NON
M. Ludovic TOLASSY,REG,1761,1.99,6.68,NON
M. Steve SALIM,DIV,1685,1.90,6.39,NON
M. Michel TOLA,DVG,1551,1.75,5.88,NON
M. Patrick Marcellin GALAS,DVC,698,0.79,2.65,NON
M. José AYASSAMI,DIV,324,0.37,1.23,NON
M. Steeve CIREDERF-ROUYAR,UG,226,0.25,0.86,NON
Mme Roseline CHATELOT,DIV,182,0.21,0.69,NON
Mme Paméla POMMIER,DIV,173,0.20,0.66,NON
M. Raymond MOLIA,DIV,126,0.14,0.48,NON
M. Moïse AYASSAMY,DVG,2,0.00,0.01,NON
