Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Elsa DI MEO,UG,11651,10.23,32.52,QUALIF T2
Mme Amélia LAKRAFI,ENS,11398,10.01,31.82,QUALIF T2
M. Jean DE VERON,UXD,6147,5.40,17.16,NON
M. Lucas LAMAH,LR,3488,3.06,9.74,NON
Mme Marie Josée MABASI,DVC,948,0.83,2.65,NON
M. Philippe CASTELLAN,REC,842,0.74,2.35,NON
M. Ali Camille HOJEIJ,DVC,709,0.62,1.98,NON
Mme Odile MOJON-CHEMINADE,DIV,450,0.40,1.26,NON
Mme Sandra LAROSE,DIV,94,0.08,0.26,NON
Mme Julie LAGUI,DIV,70,0.06,0.20,NON
M. Hugues Michel MARIE-LOUISE,DIV,20,0.02,0.06,NON
Mme Nathalie MAZOT,DVG,7,0.01,0.02,NON
