Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Sandrine ROUSSEAU,UG,26020,36.48,52.13,OUI
Mme Pegah MALEK-AHMADI,ENS,11550,16.19,23.14,NON
Mme Marie-Josée BOULAIRE,RN,5733,8.04,11.49,NON
M. Jean-Baptiste OLIVIER,DVD,2290,3.21,4.59,NON
Mme Elisabeth STIBBE,DVD,1495,2.10,3.00,NON
Mme Jade FARRAN,DVC,678,0.95,1.36,NON
Mme Marion BOTTOU,REC,611,0.86,1.22,NON
M. Julian ROZENBERG,ECO,565,0.79,1.13,NON
Mme Florence Jacqueline Chantal BEDAGUE,EXG,396,0.56,0.79,NON
Mme Sophie CHEN,DVD,269,0.38,0.54,NON
Mme Blandine CHAUVEL,EXG,251,0.35,0.50,NON
M. Marc ELY,EXD,55,0.08,0.11,NON
