Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Élisa MARTIN,UG,16933,29.47,42.84,QUALIF T2
Mme Christel DUPRÉ,RN,8989,15.64,22.74,QUALIF T2
Mme Émilie CHALAS,ENS,7908,13.76,20.01,QUALIF T2
M. Stéphane GEMMANI,DVG,3059,5.32,7.74,NON
Mme Coline GENEVOIS,LR,1103,1.92,2.79,NON
M. M'Hamed BENHAROUGA,UDI,370,0.64,0.94,NON
M. Khemisti BOUBEKER,DVG,289,0.50,0.73,NON
Mme Isabelle FASSION,REC,251,0.44,0.63,NON
Mme Catherine BRUN,EXG,223,0.39,0.56,NON
M. Louiliam CLOT,ECO,181,0.32,0.46,NON
M. Baptiste ANGLADE,EXG,142,0.25,0.36,NON
M. Samuel LE FOURN,EXG,82,0.14,0.21,NON
