Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Anne GENETET,ENS,16770,16.03,39.94,QUALIF T2
M. Franck PAJOT,UG,12502,11.95,29.78,QUALIF T2
M. Pierre BROCHET,RN,6424,6.14,15.30,NON
M. Marc GUYON,EXD,1495,1.43,3.56,NON
M. François ASSELINEAU,DSV,1376,1.32,3.28,NON
Mme Tatiana BOTEVA-MALO,ECO,949,0.91,2.26,NON
Mme Anne-France LARQUEMIN,REC,719,0.69,1.71,NON
M. Jordan CRUCIANI,ECO,574,0.55,1.37,NON
Mme Françoise ARTHUR,REG,507,0.48,1.21,NON
Mme Elise PHONRATH,DSV,244,0.23,0.58,NON
M. Jacques CHEMINADE,DIV,224,0.21,0.53,NON
Mme Nelly VIOLETTE,DIV,148,0.14,0.35,NON
M. Victor MAUREL,DIV,30,0.03,0.07,NON
Mme Nathalie MARTIN,DVG,14,0.01,0.03,NON
M. Olivier MACHET,DIV,10,0.01,0.02,NON
