Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. David AMIEL,ENS,21698,27.91,38.85,QUALIF T2
Mme Aminata NIAKATÉ,UG,20722,26.65,37.11,QUALIF T2
Mme Sophie ROSTAN,RN,7818,10.06,14.00,NON
M. Frédéric JACQUOT,DVD,3419,4.40,6.12,NON
M. Victor CHRZANOWSKI,REC,824,1.06,1.48,NON
Mme Ingrid ALLORANT,ECO,811,1.04,1.45,NON
Mme Annie POUPON,REG,234,0.30,0.42,NON
Mme Corinne ROETHLISBERGER,EXG,226,0.29,0.40,NON
Mme Anne-Laure DELINOT,EXD,85,0.11,0.15,NON
Mme Corinne PAINE,DSV,7,0.01,0.01,NON
M. Francis SANDO,DSV,1,0.00,0.00,NON
Mme Anne OUDIOU,EXG,0,0.00,0.00,NON
