Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Christian ZIMMERMANN,RN,21791,24.94,38.86,QUALIF T2
M. Didier LEMAIRE,ENS,13980,16.00,24.93,QUALIF T2
M. Thomas ZELLER,DVD,7521,8.61,13.41,NON
Mme Bénédicte VIROULET,UG,7119,8.15,12.70,NON
M. Jean-Denis ZOELLE,REG,1850,2.12,3.30,NON
M. Antoine WAECHTER,ECO,1563,1.79,2.79,NON
Mme Gaelle CRESSIN,ECO,785,0.90,1.40,NON
Mme Sandrine NOEL,REC,653,0.75,1.16,NON
Mme Simone FISCHER,DSV,579,0.66,1.03,NON
M. Géraud FERRY,EXG,234,0.27,0.42,NON
