Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Natalia POUZYREFF,ENS,20212,26.22,38.34,QUALIF T2
Mme Mélinda SAUGER,UG,14247,18.48,27.02,QUALIF T2
Mme Sophie LELANDAIS,RN,10780,13.98,20.45,QUALIF T2
M. Stéphane TORREZ,LR,4028,5.22,7.64,NON
M. Jean-Luc SUZÉ,ECO,1668,2.16,3.16,NON
Mme Anne-Elisabeth SILD,REC,759,0.98,1.44,NON
Mme Claire COUEIGNAS,DSV,533,0.69,1.01,NON
Mme Cécile PERRAUDIN,EXG,222,0.29,0.42,NON
M. Ken ARMÈDE,EXG,120,0.16,0.23,NON
M. Patrice HERNOT,DVD,84,0.11,0.16,NON
M. Marc PHILIPOT,DIV,71,0.09,0.13,NON
M. Leo MÜLLBACHER,DIV,0,0.00,0.00,NON
