Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Jean-Hugues RATENON,DVG,11536,12.73,33.18,QUALIF T2
M. Joan DORO,RN,10456,11.54,30.07,QUALIF T2
Mme Anne CHANE-KAYE-BONE,DVG,5757,6.35,16.56,NON
Mme Léopoldine SETTAMA-VIDON,DVC,3655,4.03,10.51,NON
M. Jean Yves PAYET,EXG,989,1.09,2.84,NON
M. Jérémy LAUP,DIV,800,0.88,2.30,NON
Mme Alexandrine DUCHEMANE ARAYE,DVG,443,0.49,1.27,NON
M. Jean Dominique RAMASSAMY,DVD,413,0.46,1.19,NON
M. Dominique SAUTRON,REC,300,0.33,0.86,NON
Mme Lydia PICARD,DIV,287,0.32,0.83,NON
M. Jean Paul LIMBE,DIV,132,0.15,0.38,NON
