Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Olivier FAYSSAT,UXD,19151,24.03,38.27,QUALIF T2
Mme Christine JUSTE,UG,14119,17.72,28.22,QUALIF T2
M. Lionel ROYER-PERREAUT,ENS,12575,15.78,25.13,QUALIF T2
Mme Serena ZOUAGHI,LR,2231,2.80,4.46,NON
Mme Jeanne ASTOLFI,REC,862,1.08,1.72,NON
Mme Stéphanie BRUN,DVD,348,0.44,0.70,NON
Mme Caroline COURONNE,ECO,276,0.35,0.55,NON
Mme Corinne MOREL,EXG,250,0.31,0.50,NON
M. Sébastien PERETTI,DIV,217,0.27,0.43,NON
M. Alain SLAMA,EXD,4,0.01,0.01,NON
Mme Tess JANNONE,DVC,3,0.00,0.01,NON
Mme Sylvie GIOVANNINI,REG,1,0.00,0.00,NON
