Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Nicolas METZDORF,DVD,22316,22.97,39.81,QUALIF T2
Mme Omayra Lisa Meun NAISSELINE,REG,20370,20.96,36.34,QUALIF T2
M. Philippe DUNOYER,HOR,5791,5.96,10.33,NON
Mme Veylma FALAEO,DVG,2731,2.81,4.87,NON
M. Simon LOUECKHOTE,RN,2562,2.64,4.57,NON
Mme Muneiko HAOCAS,REG,1229,1.26,2.19,NON
Mme Juanita Ciane ANGEXETINE ÉP RAILATI,REG,344,0.35,0.61,NON
M. Cédric DEVAUD,ECO,235,0.24,0.42,NON
M. Pierre-Henri CUENOT,DVD,173,0.18,0.31,NON
M. Thomas NASRI,REC,158,0.16,0.28,NON
Mme Germaine Toléta NEMIA ÉP BISHOP,REG,78,0.08,0.14,NON
M. Manuel MILLAR,DIV,63,0.06,0.11,NON
