Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Antoine LÉAUMENT,UG,16242,25.85,43.01,QUALIF T2
M. Michael AMAND,RN,9784,15.57,25.91,QUALIF T2
Mme Alexandra MONET,ENS,7137,11.36,18.90,NON
M. Nicolas DE BOISHUE,LR,2207,3.51,5.84,NON
M. Thierry DENEUVE,ECO,694,1.10,1.84,NON
M. Kamel KECER,ECO,622,0.99,1.65,NON
Mme Stéphanie HAMON,REC,373,0.59,0.99,NON
Mme Monique LECLERC,EXG,317,0.50,0.84,NON
M. Willy DECKEL,DIV,257,0.41,0.68,NON
M. Joël MANDO,DVD,70,0.11,0.19,NON
M. Mihala KABAMA,DIV,60,0.10,0.16,NON
