Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Sophia CHIKIROU,UG,34329,42.26,58.19,OUI
Mme Gwënaelle COULON,ENS,13230,16.29,22.42,NON
Mme Élise Maryse LAPLACE,RN,4301,5.29,7.29,NON
M. Jean-Christophe MARTIN,LR,2317,2.85,3.93,NON
M. Louis GUNDERMANN,DVC,1577,1.94,2.67,NON
M. Hippolyte VERDIER,ECO,1208,1.49,2.05,NON
Mme Amélie JULLIEN,REC,626,0.77,1.06,NON
Mme Veronique BRUNET,EXG,509,0.63,0.86,NON
M. Alain Jean AMOUNI,DIV,450,0.55,0.76,NON
M. Thierry SESSIN CARACCI,DVG,377,0.46,0.64,NON
Mme Dima LECREST,DVG,73,0.09,0.12,NON
Mme Laurence NICOLAS,EXG,0,0.00,0.00,NON
M. Martial MUTTE,DVG,0,0.00,0.00,NON
