Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Marc FERRACCI,ENS,25590,16.02,40.54,QUALIF T2
Mme Halima DELIMI,UG,19446,12.17,30.81,QUALIF T2
Mme Déborah MERCERON,RN,9158,5.73,14.51,NON
M. Olivier CORTICCHIATO,LR,4172,2.61,6.61,NON
M. Jacques DE CAUSANS,DVC,1888,1.18,2.99,NON
M. Philippe TISSOT,REC,949,0.59,1.50,NON
Mme Marie-Julie JACQUEMOT,DVG,651,0.41,1.03,NON
M. Arnaud DORTHE,DIV,627,0.39,0.99,NON
Mme Céline VON AUW,ECO,419,0.26,0.66,NON
Mme Michèle SELLES LEFRANC,RDG,222,0.14,0.35,NON
