Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Olivier SERVA,DVG,12042,15.90,51.40,QUALIF T2
Mme Chantal LERUS,DVG,2965,3.91,12.65,QUALIF T2
M. Marvyn MARTOL,SOC,2531,3.34,10.80,NON
M. Tarius ROYER,RN,2252,2.97,9.61,NON
Mme Laurence MAQUIABA,REG,1583,2.09,6.76,NON
M. Alix NABAJOTH,DVG,1102,1.45,4.70,NON
Mme Danielle DIAKOK,EXG,336,0.44,1.43,NON
M. Dieudonné MBALA MBALA,DIV,241,0.32,1.03,NON
M. Rudy Fiacre FARO,LR,197,0.26,0.84,NON
M. Tony REBUS,DIV,104,0.14,0.44,NON
Mme Rosemary ARMANTRADING,REC,77,0.10,0.33,NON
