Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Rodrigo ARENAS,UG,25216,35.82,50.66,OUI
M. Benjamin DJIANE,ENS,11918,16.93,23.94,NON
Mme Agnès PAGEARD,RN,5670,8.05,11.39,NON
M. Patrick VIRY,LR,2965,4.21,5.96,NON
M. Yann WEHRLING,ECO,1324,1.88,2.66,NON
Mme Alexia OSTYN,DVC,640,0.91,1.29,NON
M. Roger BERTHOLON,REC,634,0.90,1.27,NON
Mme Charlotte DE VILMORIN,DIV,623,0.88,1.25,NON
M. Michel GOLDSTEIN,DVC,469,0.67,0.94,NON
Mme Marianne NOEL,EXG,318,0.45,0.64,NON
Mme Camille LEBRUN,EXG,0,0.00,0.00,NON
