Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Danielle SIMONNET,DVG,23103,29.02,41.87,QUALIF T2
Mme Céline VERZELETTI,UG,12619,15.85,22.87,QUALIF T2
M. Mohamad GASSAMA,ENS,8948,11.24,16.22,NON
Mme Clotilde GUERY,RN,4969,6.24,9.01,NON
M. François-Marie DIDIER,LR,1968,2.47,3.57,NON
M. Philippe ARAGON,DVC,1634,2.05,2.96,NON
M. Aliou POURCHET,DVC,943,1.18,1.71,NON
M. Christian GUILLOT,REC,558,0.70,1.01,NON
M. Arnaud CHARVILLAT,EXG,275,0.35,0.50,NON
M. Pierre AUGROS,EXG,128,0.16,0.23,NON
M. Laurent CHRÉTIEN MARQUET,DIV,32,0.04,0.06,NON
Mme Audrey LEPAGE,DSV,1,0.00,0.00,NON
