Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Max MATHIASIN,DVG,10672,12.44,36.21,QUALIF T2
M. Rody TOLASSY,RN,7635,8.90,25.90,QUALIF T2
M. Nicolas CITADELLE,SOC,4361,5.08,14.80,NON
M. Fred DESHAYES,DVG,3381,3.94,11.47,NON
M. Eric CORIOLAN,REG,1644,1.92,5.58,NON
M. Christopher PETITFOND,DVC,601,0.70,2.04,NON
Mme Sidjie ESDRAS,EXG,545,0.64,1.85,NON
M. Bernard ABDOUL-MANINROUDINE,DIV,271,0.32,0.92,NON
Mme Christèle PIGNAC,REC,191,0.22,0.65,NON
M. Francis LALANNE,DIV,173,0.20,0.59,NON
