Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Léa BALAGE EL MARIKY,UG,24441,33.40,46.15,QUALIF T2
M. Stanislas GUERINI,ENS,18001,24.60,33.99,QUALIF T2
Mme Olga PODOLSKAIA,RN,4709,6.43,8.89,NON
M. Paul HATTE,LR,4118,5.63,7.78,NON
Mme Marie COURTOIS,REC,486,0.66,0.92,NON
M. Côme CITROEN,ECO,433,0.59,0.82,NON
M. Laurent BURTAIRE,EXG,232,0.32,0.44,NON
M. Grégory FERNANDES,EXG,151,0.21,0.29,NON
M. Quentin LAPORTE,DVC,116,0.16,0.22,NON
Mme Warda BAÏLICHE,DVC,102,0.14,0.19,NON
M. Laurent SEMAT,DVG,92,0.13,0.17,NON
M. Thierry ALQUIER,DVD,81,0.11,0.15,NON
Mme Irène GASARIAN,EXG,0,0.00,0.00,NON
