Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Céline HERVIEU,UG,24195,33.20,43.70,QUALIF T2
Mme Maud GATEL,ENS,19295,26.48,34.85,QUALIF T2
Mme Lindsay FISCHER,RN,5632,7.73,10.17,NON
M. Jean-François ALEXANDRE,LR,3888,5.34,7.02,NON
Mme Anne-Marie TARANNE,REC,749,1.03,1.35,NON
Mme Julie LASNE,ECO,715,0.98,1.29,NON
M. Julien VICK,DVC,387,0.53,0.70,NON
Mme Marie CAMP,DVC,259,0.36,0.47,NON
M. Laurent VINCIGUERRA,EXG,223,0.31,0.40,NON
M. Iwan CLEMENTE,DIV,25,0.03,0.05,NON
Mme Rose LAVIRE,EXG,0,0.00,0.00,NON
