Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Franck LIQUORI,RN,12938,17.15,25.77,QUALIF T2
M. Hendrik DAVI,DVG,12271,16.26,24.44,QUALIF T2
M. Allan POPELARD,UG,11706,15.51,23.32,QUALIF T2
M. Maxime BOUDET,ENS,8985,11.91,17.90,NON
M. Ambroise MALINCONI,LR,2576,3.41,5.13,NON
M. Barthélémy PLEZ,ECO,865,1.15,1.72,NON
M. Marcel BLANC,REC,598,0.79,1.19,NON
Mme Nathalie MALHOLE,EXG,264,0.35,0.53,NON
M. Pierre-Frédéric ZIEBA,DIV,3,0.00,0.01,NON
Mme Pauline PAPAZIAN,REG,0,0.00,0.00,NON
