Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Adel AMARA,UG,16505,22.04,33.02,QUALIF T2
Mme Maud PETIT,ENS,15287,20.41,30.58,QUALIF T2
M. Alain PHILIPPET,RN,13474,17.99,26.95,QUALIF T2
M. Bernard CHAUSSEGROS,DVD,1292,1.73,2.58,NON
Mme Marie-Odile PERRU,DVC,820,1.10,1.64,NON
Mme Soraya BENSLIMANE,DSV,624,0.83,1.25,NON
M. Michaël BOHBOT,REC,594,0.79,1.19,NON
Mme Brigitte MOULIN,EXG,557,0.74,1.11,NON
M. Maxence SOBRAL,DVD,543,0.73,1.09,NON
M. Jean DAMBREVILLE,DVG,293,0.39,0.59,NON
