Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Aurélien LE COQ,UG,17800,28.86,44.20,QUALIF T2
Mme Carole LECLERCQ,RN,7298,11.83,18.12,QUALIF T2
Mme Vanessa DUHAMEL,ENS,7055,11.44,17.52,NON
Mme Amy BAH,DVG,3551,5.76,8.82,NON
M. Brice LAURET,DVD,1951,3.16,4.85,NON
M. Maxime LEGRAND,DVG,1169,1.90,2.90,NON
Mme Allison MARINHO,DVD,610,0.99,1.51,NON
M. Audric ALEXANDRE,DIV,345,0.56,0.86,NON
M. Pierre MADELAIN,EXG,217,0.35,0.54,NON
M. Michel LAURENÇOT,DVG,199,0.32,0.49,NON
Mme Verena PRIEM,REG,58,0.09,0.14,NON
M. Frédéric CHAOUAT,DIV,14,0.02,0.03,NON
Mme Adel BOUSALHAM,DVG,1,0.00,0.00,NON
Mme Line MARAGE,EXG,0,0.00,0.00,NON
