Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Nathalie AUBERT,RN,22049,23.84,36.17,QUALIF T2
M. Hubert OTT,ENS,19785,21.39,32.46,QUALIF T2
M. Lilian BOURGEOIS,UG,9228,9.98,15.14,NON
M. Daniel KLACK,DVD,5012,5.42,8.22,NON
M. Jean-Marc BURGEL,REG,1645,1.78,2.70,NON
Mme Tiffany STRAUB,DIV,1641,1.77,2.69,NON
Mme Claudine SÉBERT,DSV,679,0.73,1.11,NON
M. Victor OLRY,REC,477,0.52,0.78,NON
M. Pascal NEUSCHWANGER,EXG,280,0.30,0.46,NON
M. Nathan DOUDE VAN TROOSTWIJK,DVG,163,0.18,0.27,NON
