Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Emmanuel FERNANDES,UG,21533,29.50,43.91,QUALIF T2
Mme Rebecca BREITMAN,ENS,11063,15.16,22.56,QUALIF T2
Mme Virginie JORON,RN,10407,14.26,21.22,QUALIF T2
M. Alexandre WOLF SAMALOUSSI,LR,3287,4.50,6.70,NON
Mme Cendrine DIEMUNSCH,REG,819,1.12,1.67,NON
M. Jean Marc GOVERNATORI,ECO,685,0.94,1.40,NON
Mme Fabienne SCHNITZLER,ECO,473,0.65,0.96,NON
Mme Elisa CLOLOT,DVG,358,0.49,0.73,NON
M. Alain RICHARD,EXG,262,0.36,0.53,NON
M. Clément SOUBISE,EXG,154,0.21,0.31,NON
