Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Stéphane VOJETTA,DVC,14492,12.55,33.68,QUALIF T2
M. Maxime DA SILVA,UG,11267,9.75,26.18,QUALIF T2
Mme Johana MAUREL,RN,8385,7.26,19.49,NON
M. José SANCHEZ PEREZ,DVC,2226,1.93,5.17,NON
M. Jeremie FOSSE,DVG,2161,1.87,5.02,NON
M. Yohann CASTRO,DVD,2069,1.79,4.81,NON
Mme Béatrice MAZEL,REC,794,0.69,1.85,NON
Mme Sarah MILLOT,DVG,587,0.51,1.36,NON
M. Alexandre MARIE,DVG,353,0.31,0.82,NON
M. Jean-François CALVET,DSV,308,0.27,0.72,NON
Mme Maud LAGARDE,DIV,187,0.16,0.43,NON
M. Christopher BRENIER,DIV,132,0.11,0.31,NON
M. David NATAF,DIV,70,0.06,0.16,NON
